Timestamp,Write_Bandwidth_MB_s,Read_Bandwidth_MB_s,Total_Bandwidth_MB_s
00:00:00,111.21,49.06,160.26999999999998
00:00:01,65.35,34.57,99.91999999999999
00:00:02,91.77,39.88,131.65
00:00:03,121.44,46.88,168.32
00:00:04,105.98,44.1,150.08
00:00:05,119.57,52.95,172.51999999999998
00:00:06,71.14,33.49,104.63
00:00:07,94.99,45.61,140.6
00:00:08,106.47,44.35,150.82
00:00:09,169.4,61.47,230.87
00:00:10,136.5,63.37,199.87
00:00:11,94.86,41.08,135.94
00:00:12,148.07,62.9,210.97
00:00:13,147.91,58.59,206.5
00:00:14,417.79,162.71,580.5
00:00:15,1206.16,323.27,1529.43
00:00:16,774.2,304.55,1078.75
00:00:17,770.23,331.41,1101.64
00:00:18,727.35,182.98,910.33
00:00:19,306.45,133.13,439.58
00:00:20,429.74,159.84,589.58
00:00:21,512.58,130.99,643.57
00:00:22,713.1,129.72,842.82
00:00:23,1094.14,139.47,1233.6100000000001
00:00:24,1522.66,135.64,1658.3000000000002
00:00:25,2024.02,158.38,2182.4
00:00:26,2302.69,138.56,2441.25
00:00:27,2707.66,152.08,2859.74
00:00:28,2958.61,141.14,3099.75
00:00:29,3261.69,141.36,3403.05
00:00:30,3520.73,152.45,3673.18
00:00:31,3622.12,136.96,3759.08
00:00:32,3935.25,152.62,4087.87
00:00:33,4211.35,150.77,4362.120000000001
00:00:34,4221.42,138.52,4359.9400000000005
00:00:35,4445.37,162.92,4608.29
00:00:36,4469.02,127.18,4596.200000000001
00:00:37,4769.43,199.05,4968.4800000000005
00:00:38,4411.01,129.41,4540.42
00:00:39,4759.2,138.42,4897.62
00:00:40,4978.91,160.68,5139.59
00:00:41,4532.3,121.34,4653.64
00:00:42,5039.45,145.62,5185.07
00:00:43,5028.75,131.67,5160.42
00:00:44,4695.11,124.87,4819.98
00:00:45,4868.82,153.26,5022.08
00:00:46,5156.06,130.86,5286.92
00:00:47,5738.51,194.22,5932.7300000000005
00:00:48,5606.37,134.38,5740.75
00:00:49,5577.68,127.98,5705.66
00:00:50,5689.72,148.92,5838.64
00:00:51,5867.44,174.27,6041.71
00:00:52,5672.86,139.62,5812.48
00:00:53,5873.49,133.66,6007.15
00:00:54,5797.8,126.24,5924.04
00:00:55,5608.36,146.57,5754.929999999999
00:00:56,5311.67,131.18,5442.85
00:00:57,5423.07,131.49,5554.5599999999995
00:00:58,5922.31,123.21,6045.52
00:00:59,5941.93,126.35,6068.280000000001
00:01:00,5939.03,142.48,6081.509999999999
00:01:01,6058.64,126.56,6185.200000000001
00:01:02,5511.67,138.44,5650.11
00:01:03,5788.92,119.28,5908.2
00:01:04,6127.58,127.98,6255.5599999999995
00:01:05,6265.85,153.37,6419.22
00:01:06,6062.28,124.69,6186.969999999999
00:01:07,6289.83,143.71,6433.54
00:01:08,6367.84,148.54,6516.38
00:01:09,5966.61,140.41,6107.0199999999995
00:01:10,6200.56,122.05,6322.610000000001
00:01:11,6212.18,151.41,6363.59
00:01:12,6396.4,136.85,6533.25
00:01:13,6273.64,133.59,6407.2300000000005
00:01:14,6310.47,124.07,6434.54
00:01:15,6302.42,117.28,6419.7
00:01:16,6415.61,148.66,6564.2699999999995
00:01:17,6512.58,142.87,6655.45
00:01:18,5819.6,120.53,5940.13
00:01:19,5961.38,117.78,6079.16
00:01:20,6523.27,121.34,6644.610000000001
00:01:21,6596.3,156.57,6752.87
00:01:22,6488.4,147.99,6636.389999999999
00:01:23,6463.29,121.99,6585.28
00:01:24,6446.97,132.17,6579.14
00:01:25,6598.5,118.53,6717.03
00:01:26,6476.82,138.93,6615.75
00:01:27,6635.98,151.84,6787.82
00:01:28,6595.48,123.85,6719.33
00:01:29,6505.36,112.9,6618.259999999999
00:01:30,6535.12,127.81,6662.93
00:01:31,6794.89,140.39,6935.280000000001
00:01:32,6866.93,143.16,7010.09
00:01:33,6304.01,133.95,6437.96
00:01:34,6636.54,118.41,6754.95
00:01:35,6716.06,112.39,6828.450000000001
00:01:36,6825.85,155.46,6981.31
00:01:37,6965.78,152.91,7118.69
00:01:38,6772.45,115.42,6887.87
00:01:39,6808.85,127.48,6936.33
00:01:40,6673.62,121.16,6794.78
00:01:41,6638.17,147.44,6785.61
00:01:42,6447.33,142.55,6589.88
00:01:43,6290.17,113.95,6404.12
00:01:44,6623.86,121.41,6745.2699999999995
00:01:45,6832.6,120.09,6952.6900000000005
00:01:46,6855.79,150.67,7006.46
00:01:47,6696.22,133.74,6829.96
00:01:48,6844.47,120.78,6965.25
00:01:49,6549.28,111.71,6660.99
00:01:50,6890.87,129.54,7020.41
